"STRT_ID";"STREET";"BLD_ID";"BLD";"KORP"
"3189155";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Советская ул., ";"9376507";"д.54";""
"3189155";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Советская ул., ";"9415634";"д.20";""
"3189155";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Советская ул., ";"13326203";"д.26";""
"3189155";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Советская ул., ";"9409226";"д.11";""
"3189155";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Советская ул., ";"13381014";"д.53А";""
"3189155";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Советская ул., ";"9448324";"д.51";""
"3189155";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Советская ул., ";"9392895";"д.4";""
"3189155";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Советская ул., ";"9391920";"д.56";""
"3189155";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Советская ул., ";"9381742";"д.50";"А"
"3189155";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Советская ул., ";"9387758";"д.9";""
"3189132";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Возрождения ул., ";"9424700";"д.16";""
"3189132";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Возрождения ул., ";"9375939";"д.25";""
"2699314";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, ";"9392898";"д.5";""
"3189146";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Нагорная ул., ";"9446697";"д.16";""
"3189146";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Нагорная ул., ";"9440949";"д.1";""
"3189146";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Нагорная ул., ";"13227862";"д.8";""
"3189146";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Нагорная ул., ";"9450245";"д.5";""
"3189146";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Нагорная ул., ";"9398368";"д.13а";""
"3189137";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Западная ул., ";"9407518";"д.8";""
"3189137";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Западная ул., ";"9370635";"д.3";""
"3189137";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Западная ул., ";"9439443";"д.4";""
"3189137";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Западная ул., ";"9414463";"д.17";""
"3189137";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Западная ул., ";"9419162";"д.6";""
"3189137";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Западная ул., ";"9408382";"д.12";"1"
"3189137";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Западная ул., ";"13381023";"д.7";""
"3189137";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Западная ул., ";"9448326";"д.10";"А"
"3189137";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Западная ул., ";"9424413";"д.5";""
"3189137";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Западная ул., ";"9366321";"д.12";""
"3189137";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Западная ул., ";"9418991";"д.16";""
"3189137";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Западная ул., ";"9418989";"д.11";""
"3189137";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Западная ул., ";"9396995";"нетр162460";""
"3189137";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Западная ул., ";"9376005";"д.10";""
"3189145";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Молодежная ул., ";"9435352";"нетр162460";""
"3189145";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Молодежная ул., ";"9439362";"д.2";""
"3189145";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Молодежная ул., ";"9430977";"д.3";""
"3189145";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Молодежная ул., ";"9408377";"д.11";""
"3189133";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Ворошилова ул., ";"9366177";"д.5";""
"2699314";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, ";"9440989";"д.28";""
"3189131";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Быстрова ул., ";"9392227";"д.8";""
"3189131";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Быстрова ул., ";"9434227";"д.1";""
"3189131";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Быстрова ул., ";"9388136";"д.3";""
"3189131";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Быстрова ул., ";"9425063";"д.10";""
"3189131";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Быстрова ул., ";"9425926";"д.7";""
"3189131";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Быстрова ул., ";"12252618";"д.5";""
"3189131";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Быстрова ул., ";"10218751";"д.4";"1"
"3189131";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Быстрова ул., ";"9440937";"д.19";""
"3189131";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Быстрова ул., ";"9403130";"д.4";""
"3189131";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Быстрова ул., ";"9428767";"д.12";""
"3189131";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Быстрова ул., ";"9397036";"нетр162460";""
"3189154";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Советов пл., ";"9420851";"д.7";""
"3189154";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Советов пл., ";"10216085";"д.2";""
"3189154";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Советов пл., ";"9387939";"д.4";""
"3189154";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Советов пл., ";"9377182";"д.5";""
"3189154";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Советов пл., ";"9375716";"д.1";""
"2699314";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, ";"9448908";"д.7";""
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9399062";"д.38";""
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9382067";"д.7";""
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9406562";"д.54";"А"
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9400346";"д.61";""
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9391911";"д.35";""
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9379709";"д.44";""
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9440945";"д.39";""
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9408380";"д.77";""
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"10234384";"д.74";""
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9417383";"д.58";""
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"10220905";"д.51";"А"
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9415244";"д.83";""
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9392902";"д.31";""
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9371054";"д.32";""
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9371048";"д.65";""
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9366301";"д.20";""
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"13410041";"д.34";""
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9448949";"д.28";""
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9430978";"д.27";""
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9430781";"д.41";""
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9424195";"д.89";""
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9419353";"д.23";""
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9409682";"д.2";""
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9415273";"д.30";""
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9411503";"д.71";""
"3189128";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Набережная 1-я ул., ";"9411501";"д.43";""
